co_rte,los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
RIV-10.0,2.142857142857143,20.714285714285715,64.51428571428572,76.11428571428571,84.02857142857142,54.0,83.28571428571429,81.42857142857143,82.22857142857143,89.34285714285714,82.54285714285714,70.8
RIV-15.0,7.407407407407407,30.555555555555557,79.37037037037037,85.25925925925925,87.62962962962963,91.22222222222223,94.0,86.18518518518519,88.0,88.48148148148148,94.92592592592592,87.51851851851852
RIV-215.0,0.0,5.0,61.8,54.4,60.86666666666667,90.86666666666666,93.33333333333333,90.06666666666666,84.2,70.0,91.66666666666667,46.86666666666667
RIV-60.0,8.333333333333334,0.0,50.0,41.666666666666664,79.33333333333333,66.66666666666667,87.66666666666667,54.333333333333336,79.33333333333333,91.66666666666667,91.66666666666667,50.0
RIV-91.0,0.0,20.833333333333332,68.0,70.83333333333333,75.08333333333333,85.5,58.416666666666664,94.83333333333333,84.41666666666667,93.75,95.91666666666667,87.5
SBD-10.0,6.25,35.9375,84.5625,85.1875,87.5,92.25,87.5,91.4375,82.875,89.125,86.8125,79.0
SBD-15.0,28.571428571428573,48.214285714285715,89.5,86.71428571428571,87.5,92.85714285714286,91.14285714285714,100.0,91.07142857142857,93.78571428571429,96.42857142857143,92.85714285714286
SBD-210.0,19.791666666666668,52.083333333333336,71.54166666666667,88.58333333333333,71.41666666666667,89.625,87.625,88.625,82.33333333333333,90.16666666666667,87.5,40.75
SBD-215.0,10.714285714285714,46.42857142857143,80.57142857142857,87.64285714285714,81.28571428571429,88.42857142857143,91.14285714285714,88.42857142857143,79.5,79.5,81.28571428571429,66.07142857142857
SBD-60.0,0.0,37.5,81.5,62.5,87.5,87.5,100.0,100.0,100.0,100.0,100.0,100.0
