co_rte,los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
FRE-180.0,25.0,59.61538461538461,65.61538461538461,64.61538461538461,60.76923076923077,77.92307692307692,86.53846153846153,88.53846153846153,68.53846153846153,63.46153846153846,91.38461538461539,98.15384615384616
FRE-41.0,21.875,71.875,69.0,56.5,40.75,79.875,81.25,83.0,51.625,37.5,96.875,98.5
FRE-43.0,82.14285714285714,96.42857142857143,98.28571428571429,98.28571428571429,96.42857142857143,100.0,100.0,100.0,100.0,89.28571428571429,100.0,100.0
FRE-5.0,40.0,75.0,98.8,91.5,94.0,100.0,100.0,100.0,93.8,95.0,100.0,100.0
FRE-99.0,20.58823529411765,54.411764705882355,81.94117647058823,41.35294117647059,24.41176470588235,61.11764705882353,42.64705882352941,87.05882352941177,28.88235294117647,46.64705882352941,69.94117647058823,69.11764705882354
KER-5.0,30.0,77.5,93.9,91.4,80.2,91.3,92.5,98.8,83.9,92.5,97.6,71.4
KER-58.0,0.0,42.5,77.5,62.8,79.0,88.8,100.0,92.7,17.8,86.3,90.1,60.3
KER-99.0,7.142857142857143,42.857142857142854,65.35714285714286,85.85714285714286,72.57142857142857,75.14285714285714,73.21428571428571,90.28571428571429,83.14285714285714,88.42857142857143,92.07142857142857,70.71428571428571
KIN-198.0,62.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0
KIN-41.0,56.25,100.0,100.0,97.0,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MAD-99.0,28.571428571428573,41.666666666666664,78.23809523809524,70.57142857142857,55.0,72.80952380952381,90.47619047619048,94.19047619047619,46.04761904761905,44.19047619047619,89.33333333333333,88.71428571428571
TUL-198.0,32.5,75.0,70.1,80.3,56.6,55.1,82.5,86.4,76.6,85.0,80.0,95.0
