ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
18.0,2.0,SHA,5.0,R,21.0,R,22.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
19.0,2.0,SHA,5.0,R,22.0,R,23.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
20.0,2.0,SHA,5.0,R,23.0,R,24.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
21.0,2.0,SHA,5.0,R,24.0,R,25.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
22.0,2.0,SHA,5.0,R,25.0,R,26.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
23.0,2.0,SHA,5.0,R,26.0,R,27.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
24.0,2.0,SHA,5.0,R,27.0,R,28.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
25.0,2.0,SHA,5.0,R,28.0,R,29.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
26.0,2.0,SHA,5.0,R,36.0,R,37.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
27.0,2.0,SHA,5.0,R,37.0,R,38.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
28.0,2.0,SHA,5.0,R,38.0,R,39.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
29.0,2.0,SHA,5.0,R,39.0,R,40.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
30.0,2.0,SHA,5.0,R,40.0,R,41.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
31.0,2.0,SHA,5.0,R,41.0,R,42.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,,X,,,,,X,,,,50.0,X,,,,,X,,,,,100.0,75.0
32.0,2.0,SHA,5.0,R,42.0,R,43.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
33.0,2.0,SHA,5.0,R,43.0,R,44.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
34.0,2.0,SHA,5.0,R,44.0,R,45.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
35.0,2.0,SHA,5.0,R,45.0,R,46.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
36.0,2.0,SHA,5.0,R,46.0,R,47.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
37.0,2.0,SHA,5.0,R,47.0,R,48.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
38.0,2.0,SHA,5.0,R,48.0,R,49.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
39.0,2.0,SHA,5.0,R,49.0,R,50.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
40.0,2.0,SHA,5.0,R,50.0,R,51.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
41.0,2.0,SHA,5.0,R,51.0,R,52.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
42.0,2.0,SHA,5.0,R,52.0,R,53.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
43.0,2.0,SHA,5.0,R,53.0,R,54.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
44.0,2.0,SHA,5.0,R,55.0,R,56.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
45.0,2.0,SHA,5.0,R,56.0,,57.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
46.0,2.0,SHA,5.0,,57.0,,58.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
47.0,2.0,SHA,5.0,,58.0,,59.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
48.0,2.0,SHA,5.0,,59.0,,60.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
49.0,2.0,SHA,5.0,,60.0,,61.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
50.0,2.0,SHA,5.0,,61.0,,62.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
51.0,2.0,SHA,5.0,,62.0,,63.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
52.0,2.0,SHA,5.0,,63.0,,64.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
53.0,2.0,SHA,5.0,,64.0,,65.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
54.0,2.0,SHA,5.0,,65.0,,66.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
55.0,2.0,SIS,5.0,,0.0,,1.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
56.0,2.0,SIS,5.0,,1.0,,2.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
57.0,2.0,SIS,5.0,,2.0,,3.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
58.0,2.0,SIS,5.0,,3.0,,4.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
59.0,2.0,SIS,5.0,,4.0,,5.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
60.0,2.0,SIS,5.0,,5.0,,6.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,,X,,,,75.0,75.0
61.0,2.0,SIS,5.0,R,6.0,R,7.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
62.0,2.0,SIS,5.0,R,7.0,R,8.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
63.0,2.0,SIS,5.0,R,8.0,R,9.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
64.0,2.0,SIS,5.0,R,9.0,R,10.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
65.0,2.0,SIS,5.0,R,10.0,R,11.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
66.0,2.0,SIS,5.0,R,11.0,R,12.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
67.0,2.0,SIS,5.0,R,12.0,R,13.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,X,,,,,75.0,75.0
68.0,2.0,SIS,5.0,R,13.0,R,14.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
69.0,2.0,SIS,5.0,R,14.0,R,15.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
70.0,2.0,SIS,5.0,R,15.0,R,16.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
71.0,2.0,SIS,5.0,R,16.0,R,17.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
72.0,2.0,SIS,5.0,R,17.0,R,18.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,,,X,,,,X,,,,25.0,63.0
73.0,2.0,SIS,5.0,R,18.0,R,19.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,,X,,,,X,,,,,75.0,88.0
74.0,2.0,SIS,5.0,R,19.0,R,20.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
75.0,2.0,SIS,5.0,R,20.0,R,21.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
76.0,2.0,SIS,5.0,R,21.0,R,22.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
77.0,2.0,SIS,5.0,R,22.0,R,23.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,,X,,,,X,,,,,75.0,88.0
78.0,2.0,SIS,5.0,R,23.0,R,24.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
79.0,2.0,SIS,5.0,R,24.0,R,25.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,,X,,,,50.0,50.0
80.0,2.0,SIS,5.0,R,25.0,R,26.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,,X,,,,50.0,50.0
81.0,2.0,SIS,5.0,R,26.0,R,27.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,,X,,,,50.0,50.0
82.0,2.0,SIS,5.0,R,27.0,R,28.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
83.0,2.0,SIS,5.0,R,28.0,R,29.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,,,,,,50.0,63.0
84.0,2.0,SIS,5.0,R,29.0,R,30.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
85.0,2.0,SIS,5.0,R,30.0,R,31.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0,,X,,,,X,,,,,75.0,75.0
86.0,2.0,SIS,5.0,R,31.0,R,32.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,,X,,,,50.0,50.0
87.0,2.0,SIS,5.0,R,32.0,R,33.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
88.0,2.0,SIS,5.0,R,33.0,R,34.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
89.0,2.0,SIS,5.0,R,34.0,R,35.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
90.0,2.0,SIS,5.0,R,35.0,R,36.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
91.0,2.0,SIS,5.0,R,36.0,R,37.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
92.0,2.0,SIS,5.0,R,37.0,R,38.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
93.0,2.0,SIS,5.0,R,38.0,R,39.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
94.0,2.0,SIS,5.0,R,39.0,R,40.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
95.0,2.0,SIS,5.0,R,40.0,R,41.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,X,,,,,X,,,,,100.0,75.0
96.0,2.0,SIS,5.0,R,41.0,R,42.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,X,,,,,75.0,63.0
97.0,2.0,SIS,5.0,R,42.0,R,43.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
98.0,2.0,SIS,5.0,R,43.0,R,44.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
99.0,2.0,SIS,5.0,R,44.0,R,45.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
100.0,2.0,SIS,5.0,R,45.0,R,46.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
101.0,2.0,SIS,5.0,R,46.0,R,47.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
102.0,2.0,SIS,5.0,R,47.0,R,48.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
103.0,2.0,SIS,5.0,R,48.0,R,49.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,,X,,,,50.0,63.0
104.0,2.0,SIS,5.0,R,49.0,R,50.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0,,X,,,,X,,,,,75.0,75.0
105.0,2.0,SIS,5.0,R,50.0,R,51.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
106.0,2.0,SIS,5.0,R,51.0,R,52.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
107.0,2.0,SIS,5.0,R,52.0,R,53.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,X,,,,,75.0,75.0
108.0,2.0,SIS,5.0,R,53.0,R,54.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,X,,,,,75.0,63.0
109.0,2.0,SIS,5.0,R,54.0,R,55.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
110.0,2.0,SIS,5.0,R,55.0,R,56.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
111.0,2.0,SIS,5.0,R,56.0,R,57.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
112.0,2.0,SIS,5.0,R,57.0,R,58.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
113.0,2.0,SIS,5.0,R,58.0,R,59.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
114.0,2.0,SIS,5.0,R,59.0,R,60.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
115.0,2.0,SIS,5.0,R,60.0,R,61.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
116.0,2.0,SIS,5.0,R,61.0,R,62.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,,X,,,,50.0,50.0
117.0,2.0,SIS,5.0,R,62.0,R,63.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,,X,,,,50.0,50.0
118.0,2.0,SIS,5.0,R,63.0,R,64.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,,X,,,,75.0,88.0
119.0,2.0,SIS,5.0,R,64.0,R,65.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
120.0,2.0,SIS,5.0,R,65.0,R,66.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,,X,,,,75.0,88.0
121.0,2.0,SIS,5.0,R,66.0,R,67.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
122.0,2.0,SIS,5.0,R,67.0,R,68.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,,X,,,,50.0,63.0
123.0,2.0,TEH,5.0,R,0.0,R,1.0,1.0,,2.0,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
